sand,clay,drainage
56,36,1.123671
56,34,1.144947
56,32,1.17813
56,30,1.22657
56,28,1.305166
56,26,1.408482
56,24,1.528165
56,22,1.652544
56,20,1.782052
56,18,1.909784
56,16,2.035593
56,14,2.160151
56,12,2.298232
56,10,2.45298
56,8,2.628645
56,6,2.832288
56,4,3.074705
56,2,3.379865
56,0,3.759498
58,42,0.985972
58,40,1.039877
58,38,1.082152
58,36,1.115424
58,34,1.144629
58,32,1.18019
58,30,1.228758
58,28,1.303223
58,26,1.403165
58,24,1.527014
58,22,1.659409
58,20,1.796498
58,18,1.93134
58,16,2.063222
58,14,2.19391
58,12,2.332691
58,10,2.489893
58,8,2.669548
58,6,2.873362
58,4,3.109412
58,2,3.38657
58,0,3.726079
60,40,1.012154
60,38,1.06071
60,36,1.102616
60,34,1.137943
60,32,1.175398
60,30,1.228343
60,28,1.301474
60,26,1.399809
60,24,1.52354
60,22,1.665979
60,20,1.806865
60,18,1.952179
60,16,2.094738
60,14,2.232179
60,12,2.372561
60,10,2.526151
60,8,2.706906
60,6,2.913314
60,4,3.15068
60,2,3.425029
60,0,3.746016
62,38,1.035643
62,36,1.084504
62,34,1.125125
62,32,1.168593
62,30,1.222234
62,28,1.297679
62,26,1.394659
62,24,1.520132
62,22,1.666266
62,20,1.820837
62,18,1.975693
62,16,2.127409
62,14,2.271063
62,12,2.414949
62,10,2.570619
62,8,2.748935
62,6,2.95436
62,4,3.19657
62,2,3.474566
62,0,3.792515
64,36,1.060641
64,34,1.109188
64,32,1.156187
64,30,1.215542
64,28,1.290384
64,26,1.389587
64,24,1.514077
64,22,1.667804
64,20,1.833663
64,18,1.999418
64,16,2.164082
64,14,2.319857
64,12,2.470577
64,10,2.627468
64,8,2.805138
64,6,3.011851
64,4,3.254699
64,2,3.535737
64,0,3.865354
66,34,1.0902
66,32,1.143209
66,30,1.203512
66,28,1.283109
66,26,1.385143
66,24,1.512264
66,22,1.66884
66,20,1.845741
66,18,2.028146
66,16,2.208187
66,14,2.376628
66,12,2.539325
66,10,2.700966
66,8,2.879461
66,6,3.087229
66,4,3.332518
66,2,3.618612
66,0,3.953858
68,32,1.13205
68,30,1.194119
68,28,1.274704
68,26,1.379879
68,24,1.50986
68,22,1.672184
68,20,1.860823
68,18,2.061856
68,16,2.260196
68,14,2.448653
68,12,2.625426
68,10,2.796233
68,8,2.979607
68,6,3.192571
68,4,3.43957
68,2,3.73203
68,0,4.078477
70,30,1.189611
70,28,1.271226
70,26,1.379392
70,24,1.514513
70,22,1.681652
70,20,1.881362
70,18,2.102848
70,16,2.326479
70,14,2.537085
70,12,2.732891
70,10,2.920129
70,8,3.112521
70,6,3.329976
70,4,3.584941
70,2,3.885672
70,0,4.240866
72,28,1.275195
72,26,1.385448
72,24,1.525736
72,22,1.699485
72,20,1.909448
72,18,2.151228
72,16,2.403532
72,14,2.647283
72,12,2.870082
72,10,3.076872
72,8,3.284392
72,6,3.512806
72,4,3.77774
72,2,4.090119
72,0,4.457846
74,26,1.402782
74,24,1.5479
74,22,1.732151
74,20,1.954438
74,18,2.215113
74,16,2.500113
74,14,2.779277
74,12,3.039529
74,10,3.275066
74,8,3.502035
74,6,3.747202
74,4,4.026363
74,2,4.355491
74,0,4.737078
76,24,1.586566
76,22,1.780759
76,20,2.016649
76,18,2.297928
76,16,2.615872
76,14,2.939626
76,12,3.243593
76,10,3.521605
76,8,3.776496
76,6,4.042567
76,4,4.339785
76,2,4.67981
76,0,5.088982
78,22,1.849586
78,20,2.104259
78,18,2.408564
78,16,2.757856
78,14,3.129391
78,12,3.487789
78,10,3.815554
78,8,4.11111
78,6,4.405603
78,4,4.723532
78,2,5.088429
78,0,5.507879
80,20,2.219533
80,18,2.551049
80,16,2.933476
80,14,3.351673
80,12,3.773997
80,10,4.160301
80,8,4.501459
80,6,4.8317
80,4,5.17612
80,2,5.559732
80,0,5.993577
82,18,2.726613
82,16,3.148137
82,14,3.615215
82,12,4.096023
82,10,4.550021
82,8,4.958233
82,6,5.328061
82,4,5.690983
82,2,6.092594
82,0,6.537206
84,16,3.401798
84,14,3.917393
84,12,4.456662
84,10,4.979817
84,8,5.445525
84,6,5.859385
84,4,6.251505
84,2,6.667711
84,0,7.111511
86,14,4.257962
86,12,4.845993
86,10,5.425681
86,8,5.94952
86,6,6.408035
86,4,6.827266
86,2,7.242306
86,0,7.686846
88,12,5.243307
88,10,5.871553
88,8,6.441361
88,6,6.933108
88,4,7.370188
88,2,7.790774
88,0,8.218888
90,10,6.270791
90,8,6.874843
90,6,7.39656
90,4,7.842359
90,2,8.262562
90,0,8.672746
92,8,7.218863
92,6,7.762061
92,4,8.214906
92,2,8.626424
92,0,9.02489
94,6,8.00387
94,4,8.468832
94,2,8.876608
94,0,9.268058
96,4,8.617927
96,2,9.024032
96,0,9.414625
98,2,9.087687
98,0,9.482723
100,0,9.481558
